Date,Adj Close
1993-03-01,1.05
1993-03-02,1.09
1993-03-03,1.12
1993-03-04,1.12
1993-03-05,1.1
1993-03-08,1.1
1993-03-09,1.1
1993-03-10,1.09
1993-03-11,1.17
1993-03-12,1.16
1993-03-15,1.19
1993-03-16,1.18
1993-03-17,1.16
1993-03-18,1.16
1993-03-19,1.15
1993-03-22,1.15
1993-03-23,1.16
1993-03-24,1.16
1993-03-25,1.17
1993-03-26,1.13
1993-03-29,1.12
1993-03-30,1.1
1993-03-31,1.13
1993-04-01,1.14
1993-04-02,1.13
1993-04-05,1.12
1993-04-06,1.04
1993-04-07,1.07
1993-04-08,1.16
1993-04-12,1.16
1993-04-13,1.18
1993-04-14,1.18
1993-04-15,1.18
1993-04-16,1.16
1993-04-19,1.19
1993-04-20,1.13
1993-04-21,1.16
1993-04-22,1.16
1993-04-23,1.13
1993-04-26,1.12
1993-04-27,1.13
1993-04-28,1.15
1993-04-29,1.16
1993-04-30,1.16
1993-05-03,1.21
1993-05-04,1.25
1993-05-05,1.26
1993-05-06,1.27
1993-05-07,1.26
1993-05-10,1.31
1993-05-11,1.34
1993-05-12,1.32
1993-05-13,1.29
1993-05-14,1.32
1993-05-17,1.31
1993-05-18,1.33
1993-05-19,1.33
1993-05-20,1.42
1993-05-21,1.39
1993-05-24,1.4
1993-05-25,1.41
1993-05-26,1.43
1993-05-27,1.45
1993-05-28,1.43
1993-06-01,1.4
1993-06-02,1.4
1993-06-03,1.44
1993-06-04,1.42
1993-06-07,1.45
1993-06-08,1.38
1993-06-09,1.39
1993-06-10,1.41
1993-06-11,1.46
1993-06-14,1.45
1993-06-15,1.42
1993-06-16,1.44
1993-06-17,1.45
1993-06-18,1.38
1993-06-21,1.35
1993-06-22,1.39
1993-06-23,1.37
1993-06-24,1.42
1993-06-25,1.45
1993-06-28,1.46
1993-06-29,1.43
1993-06-30,1.46
1993-07-01,1.48
1993-07-02,1.54
1993-07-06,1.6
1993-07-07,1.58
1993-07-08,1.59
1993-07-09,1.54
1993-07-12,1.48
1993-07-13,1.44
1993-07-14,1.48
1993-07-15,1.49
1993-07-16,1.49
1993-07-19,1.46
1993-07-20,1.48
1993-07-21,1.5
1993-07-22,1.44
1993-07-23,1.45
1993-07-26,1.42
1993-07-27,1.46
1993-07-28,1.43
1993-07-29,1.44
1993-07-30,1.42
1993-08-02,1.36
1993-08-03,1.35
1993-08-04,1.37
1993-08-05,1.42
1993-08-06,1.42
1993-08-09,1.46
1993-08-10,1.45
1993-08-11,1.48
1993-08-12,1.44
1993-08-13,1.44
1993-08-16,1.44
1993-08-17,1.45
1993-08-18,1.4
1993-08-19,1.39
1993-08-20,1.35
1993-08-23,1.4
1993-08-24,1.39
1993-08-25,1.42
1993-08-26,1.41
1993-08-27,1.41
1993-08-30,1.47
1993-08-31,1.45
1993-09-01,1.51
1993-09-02,1.55
1993-09-03,1.51
1993-09-07,1.45
1993-09-08,1.46
1993-09-09,1.49
1993-09-10,1.51
1993-09-13,1.48
1993-09-14,1.45
1993-09-15,1.44
1993-09-16,1.44
1993-09-17,1.44
1993-09-20,1.42
1993-09-21,1.4
1993-09-22,1.46
1993-09-23,1.45
1993-09-24,1.46
1993-09-27,1.5
1993-09-28,1.56
1993-09-29,1.6
1993-09-30,1.63
1993-10-01,1.6
1993-10-04,1.58
1993-10-05,1.57
1993-10-06,1.55
1993-10-07,1.62
1993-10-08,1.62
1993-10-11,1.62
1993-10-12,1.62
1993-10-13,1.61
1993-10-14,1.62
1993-10-15,1.62
1993-10-18,1.62
1993-10-19,1.55
1993-10-20,1.52
1993-10-21,1.62
1993-10-22,1.61
1993-10-25,1.55
1993-10-26,1.55
1993-10-27,1.55
1993-10-28,1.61
1993-10-29,1.6
1993-11-01,1.62
1993-11-02,1.6
1993-11-03,1.54
1993-11-04,1.52
1993-11-05,1.58
1993-11-08,1.6
1993-11-09,1.57
1993-11-10,1.55
1993-11-11,1.54
1993-11-12,1.54
1993-11-15,1.49
1993-11-16,1.49
1993-11-17,1.43
1993-11-18,1.39
1993-11-19,1.35
1993-11-22,1.28
1993-11-23,1.37
1993-11-24,1.34
1993-11-26,1.34
1993-11-29,1.35
1993-11-30,1.33
1993-12-01,1.36
1993-12-02,1.37
1993-12-03,1.44
1993-12-06,1.48
1993-12-07,1.43
1993-12-08,1.39
1993-12-09,1.39
1993-12-10,1.35
1993-12-13,1.34
1993-12-14,1.33
1993-12-15,1.34
1993-12-16,1.36
1993-12-17,1.35
1993-12-20,1.33
1993-12-21,1.25
1993-12-22,1.29
1993-12-23,1.31
1993-12-27,1.31
