Date	Open	High	Low	Close	Volume	Adj Close
1993-03-01	36.25	36.25	35.25	35.25	1590400	1.05
1993-03-02	35.75	36.75	35	36.5	3360000	1.09
1993-03-03	36.25	37.5	36.25	37.5	3635200	1.12
1993-03-04	37.5	38.25	37.25	37.5	8998400	1.12
1993-03-05	37.5	37.63	36.5	37	2566400	1.1
1993-03-08	36.75	37.5	36.5	37	2704000	1.1
1993-03-09	36.75	37	36	37	2684800	1.1
1993-03-10	37	37	36.5	36.5	1705600	1.09
1993-03-11	37.5	40	37.5	39.38	15030400	1.17
1993-03-12	39.25	39.5	38.5	38.75	7689600	1.16
1993-03-15	39.25	40.25	38.75	40	4355200	1.19
1993-03-16	40	40.25	38.75	39.5	3705600	1.18
1993-03-17	39	39.5	38.5	39	2995200	1.16
1993-03-18	39	39.5	38.75	38.75	1449600	1.16
1993-03-19	39.25	39.25	38.5	38.5	1424000	1.15
1993-03-22	38.25	38.75	37.75	38.5	2019200	1.15
1993-03-23	38.5	39.25	38	38.75	4035200	1.16
1993-03-24	38.75	39.25	38.5	38.75	3526400	1.16
1993-03-25	38.75	39.63	38.5	39.25	2336000	1.17
1993-03-26	39.75	39.75	37.5	37.75	6691200	1.13
1993-03-29	37.5	37.75	36.75	37.5	2310400	1.12
1993-03-30	37.75	38.25	36.75	36.75	2841600	1.1
1993-03-31	37.25	38.25	37	38	2275200	1.13
1993-04-01	38	38.25	37.5	38.25	1456000	1.14
1993-04-02	38	38.25	37.25	37.75	2684800	1.13
1993-04-05	37.75	37.75	37	37.5	1625600	1.12
1993-04-06	37.5	37.5	34.75	35	11699200	1.04
1993-04-07	35	36	34.25	36	7510400	1.07
1993-04-08	36.25	39.25	36	39	9059200	1.16
1993-04-12	39	39.5	38.25	38.75	4588800	1.16
1993-04-13	39	40	38.5	39.5	3475200	1.18
1993-04-14	40	40	39	39.5	1526400	1.18
1993-04-15	39.25	39.5	39	39.5	1536000	1.18
1993-04-16	39.25	39.5	38.5	38.75	4041600	1.16
1993-04-19	38.5	40	38.25	39.75	4496000	1.19
1993-04-20	39.5	40.25	37.25	38	10070400	1.13
1993-04-21	38.5	39	37.75	38.75	5139200	1.16
1993-04-22	38.75	39.5	38	39	3980800	1.16
1993-04-23	39	39.25	37.5	37.75	3260800	1.13
1993-04-26	37.75	38.25	37	37.63	3059200	1.12
1993-04-27	37.75	37.75	36.75	37.75	2684800	1.13
1993-04-28	37.75	38.5	37.25	38.5	2329600	1.15
1993-04-29	38.5	39.25	37.75	39	3299200	1.16
1993-04-30	39.5	39.75	38.75	38.75	3040000	1.16
1993-05-03	39.5	40.75	39	40.5	8966400	1.21
1993-05-04	40.5	42.5	40.25	42	14451200	1.25
1993-05-05	42.25	43.25	41.75	42.25	21171200	1.26
1993-05-06	42.25	43.75	42.25	42.75	6153600	1.27
1993-05-07	42.75	43.25	42.25	42.25	1884800	1.26
1993-05-10	42.25	44	42.25	44	5795200	1.31
1993-05-11	43.75	45.25	43.5	45	8096000	1.34
1993-05-12	45	45	43.75	44.25	10028800	1.32
1993-05-13	44	44	42.75	43.25	5315200	1.29
1993-05-14	42.75	44.5	42.25	44.25	6624000	1.32
1993-05-17	44.5	45	42.75	43.88	4864000	1.31
1993-05-18	43.75	44.75	43.75	44.5	3680000	1.33
1993-05-19	44.5	45	44	44.75	5500800	1.33
1993-05-20	45	47.75	44.75	47.75	15254400	1.42
1993-05-21	47.75	47.75	46.5	46.75	12195200	1.39
1993-05-24	46.5	47.25	45.75	47	7865600	1.4
1993-05-25	47	47.25	46.5	47.25	4400000	1.41
1993-05-26	47.25	48	46.75	48	5424000	1.43
1993-05-27	48.25	48.75	48	48.5	5430400	1.45
1993-05-28	48.5	48.5	47.5	48	5465600	1.43
1993-06-01	48	48	46	47	7628800	1.4
1993-06-02	47	47.5	46	47	4550400	1.4
1993-06-03	46.75	48.5	46.75	48.13	5539200	1.44
1993-06-04	47.75	48	47.38	47.5	2406400	1.42
1993-06-07	48	48.75	47.25	48.75	3360000	1.45
1993-06-08	47.25	47.25	46.25	46.25	8896000	1.38
1993-06-09	46.25	47.5	46.25	46.75	6435200	1.39
